TIMESTAMP,TA_F,P_F,PPFD_IN,LE_F_MDS,NEE_VUT_REF,GPP_DT_VUT_REF
20070326,3.508,0.5,152.08125,-0.260918,-0.230272,0.101661
20070327,4.409,0.5,128.2770833,0.594074,-0.420593,0.296162
20070328,3.232,0,466.0416667,8.34696,-0.28509,0.665794
20070329,1.808,0,519.8458333,9.86866,-0.219505,0.962965
20070330,4.115,0,269.6375,3.44049,-0.611862,1.09829
20070331,1.171,0,527.9125,10.4368,-0.552013,1.52654
20070401,3.066,0,522.0541667,11.1133,-0.749624,1.79021
20070402,2.069,2.4,82.46458333,0.639833,-0.340955,1.34932
20070403,0.783,5.4,128.53125,0.354686,-0.101905,1.93446
20070404,0.104,0.1,176.30625,-0.0815301,0.00239418,2.18394
20070405,-0.229,3.1,151.875,1.56813,0.0564645,2.07186
20070406,0.011,2.2,387.0604167,8.7588,-0.459153,3.0384
20070407,-1.476,0.3,256.20625,16.7988,-0.312363,3.0322
20070408,-0.404,0,439.2354167,10.2686,-0.612219,3.75843
20070409,2.335,0,386.55,9.77963,-0.597591,3.74616
20070410,1.449,0,236.4354167,5.11981,-0.551229,3.64984
20070411,1.231,0,584.8916667,12.8194,-0.54277,4.98497
20070412,1.369,0,321.7645833,5.95943,-0.262831,4.27188
20070413,1.483,9.2,222.10625,1.25537,-0.51773,4.21739
20070414,2.896,0.2,248.6833333,-0.630746,-1.10493,4.58854
20070415,1.44,1.6,187.7375,1.90813,-1.04483,4.34504
20070416,2.127,51.4,47.04583333,-0.982578,0.621652,1.86047
20070417,3.177,27.6,101.0520833,1.96501,0.089815,3.44624
20070418,4.794,1.6,288.5958333,7.77283,-0.988466,5.4151
20070419,5.763,0,557.2729167,36.6659,-2.60362,6.90902
20070420,7.77,0,638.2125,37.8087,-3.34169,6.65597
20070421,9.68,0,626.5291667,39.3649,-2.79086,5.87964
20070422,9.016,0,578.7354167,31.871,-3.78136,4.96727
20070423,17.396,0,598.3729167,45.6454,-2.72773,4.52342
20070424,11.664,0,575.9979167,33.9598,-3.36371,5.0095
20070425,6.453,0,471.4625,30.3717,-4.27461,5.33668
20070426,8.177,0,641.4125,40.5279,-3.18264,6.5698
20070427,6.086,6.2,110.30625,0.541614,-1.34036,2.35553
20070428,7.11,1.4,209.99375,3.75021,-2.98379,4.08679
20070429,6.09,6.6,141.8333333,3.34906,-1.48076,2.67974
20070430,5.625,5.8,82.17916667,1.65053,-0.133429,0.836566
20070501,7.39,0,370.0520833,17.5682,-4.36558,1.62484
20070502,8.029,0,546.6541667,47.2054,-4.17217,2.23977
20070503,7.304,0,587.0354167,46.3637,-4.01011,2.45552
20070504,8.119,0,594.60625,47.1156,-4.01819,2.52563
20070505,8.226,0,572.3020833,42.7942,-4.11734,3.10454
20070506,8.266,0,643.2645833,44.1862,-3.82747,5.21275
20070507,12.954,0,622.9020833,67.4244,-3.65307,5.65612
20070508,18.308,0,628.49375,80.4574,-1.98263,5.05274
20070509,19.403,0,585.0583333,49.0225,-3.23661,5.38844
20070510,20.579,0,662.9166667,55.8843,-3.16677,5.79472
20070511,15.868,1.6,176.70625,11.1886,-0.514821,2.65595
20070512,10.57,0,706.6145833,60.6305,-3.93955,8.14152
20070513,9.799,0,709.16875,56.0757,-4.20637,8.60922
20070514,10.861,0,688.2541667,60.4849,-3.99519,8.67086
20070515,10.719,2.1,112.7625,1.47312,0.560479,1.98612
20070516,6.81,21.7,75.53541667,0.294329,0.71972,1.41621
20070517,4.794,2,264.10625,4.5806,-2.82945,4.92506
20070518,4.384,24.5,123.1125,3.12113,-0.299502,2.56774
20070519,10.171,6.3,321.20625,2.41154,-4.01922,6.0262
20070520,11.259,2.8,306.4145833,26.1098,-2.73071,5.56725
20070521,8.226,1.4,465.925,42.2619,-4.5863,7.26941
20070522,9.995,0,656.6,57.7353,-3.70338,7.24618
20070523,9.922,0,669.5,58.6895,-4.91195,7.39892
20070524,16.348,0,542.6166667,49.9046,-4.4662,6.29215
20070525,23.952,0,619.3229167,81.2376,-1.17191,5.61435
20070526,21.622,0,646.1375,55.094,-4.32075,6.57561
20070527,15.356,0.2,610.8375,58.7873,-3.83312,6.11874
20070528,15.517,4.4,461.0708333,41.9551,-3.41985,8.63712
20070529,15.245,0,590.2166667,60.9722,-3.8633,10.4487
20070530,13.177,1.9,230.7354167,14.1361,-1.10779,3.1757
20070531,13.613,0.1,492.99375,47.3589,-4.05808,2.16224
20070601,15.53,0,312.75625,28.9389,-3.11449,1.35079
20070602,17.397,0.8,356.2791667,43.6165,-2.74926,2.77706
20070603,14.261,4.2,174.9833333,2.96371,-1.06996,4.20468
20070604,11.93,12.4,100.86875,5.00378,1.80279,3.48897
20070605,17.27,3.5,568.9666667,69.976,-4.02841,8.2707
20070606,14.168,0.2,549.6229167,78.7697,-4.13923,7.86938
20070607,13.712,0,728.35,93.7859,-3.28155,8.82453
20070608,15.811,0,486.9833333,79.9019,-3.62076,8.04949
20070609,16.893,0,472.4770833,61.9588,-4.00703,8.21989
20070610,18.839,0.2,655.1666667,70.3953,-1.57087,9.8107
20070611,21.524,0,651.6791667,95.661,-0.435381,11.5029
20070612,20.379,0.2,534.8875,108.229,-0.756746,10.0344
20070613,15.048,0,404.88125,61.2738,-2.8596,9.79709
